Nº;TITULO;Autor;Año;SignaturaLCC;LCCSeccion;LCCNumero;LCCCutter;Ejemplar;Observaciones
1877;Calidad de Sistemas de Informacion 3da Edicion Ampliada y  Actualizada;Mario Piattini Velthuis;2015;QA76.76.O63.P521;QA;76.76;.O63.P521;5;
1878;Aprenda Microsoft Windows Server  2008;Jose Luis Raya, Laura Raya  y otros;2009;QA76.76.O63.R28;QA;76.76;.O63.R28;1;
1879;Aprenda Microsoft Windows Server  2009;Jose Luis Raya, Laura Raya  y otros;2009;QA76.76.O63.R28;QA;76.76;.O63.R28;2;
1880;Instalación y configuración de sistemas operativos;Jose Luis Raya Cabrera;2013;QA76.76.O63.R28I;QA;76.76;.O63.R28I;1;
1881;Instalación y configuración de sistemas operativos;Jose Luis Raya Cabrera;2013;QA76.76.O63.R28I;QA;76.76;.O63.R28I;2;
1882;Instalación y configuración de sistemas operativos;Jose Luis Raya Cabrera;2013;QA76.76.O63.R28I;QA;76.76;.O63.R28I;3;
1883;Instalación y configuración de sistemas operativos;Jose Luis Raya Cabrera;2013;QA76.76.O63.R28I;QA;76.76;.O63.R28I;4;
1884;Instalación y configuración de sistemas operativos;Jose Luis Raya Cabrera;2013;QA76.76.O63.R28I;QA;76.76;.O63.R28I;5;
1885;LINUX Dominar la administracion del sistema 3ra Edicion;Sebastian ROHAUT;2015;QA76.76.O63.R78;QA;76.76;.O63.R78;1;
1886;LINUX Dominar la administracion del sistema 3ra Edicion;Sebastian ROHAUT;2015;QA76.76.O63.R78;QA;76.76;.O63.R78;10;
1887;LINUX Dominar la administracion del sistema 3ra Edicion;Sebastian ROHAUT;2015;QA76.76.O63.R78;QA;76.76;.O63.R78;2;
1888;LINUX Dominar la administracion del sistema 3ra Edicion;Sebastian ROHAUT;2015;QA76.76.O63.R78;QA;76.76;.O63.R78;3;
1889;LINUX Dominar la administracion del sistema 3ra Edicion;Sebastian ROHAUT;2015;QA76.76.O63.R78;QA;76.76;.O63.R78;4;
1890;LINUX Dominar la administracion del sistema 3ra Edicion;Sebastian ROHAUT;2015;QA76.76.O63.R78;QA;76.76;.O63.R78;5;
1891;LINUX Dominar la administracion del sistema 3ra Edicion;Sebastian ROHAUT;2015;QA76.76.O63.R78;QA;76.76;.O63.R78;6;
1892;LINUX Dominar la administracion del sistema 3ra Edicion;Sebastian ROHAUT;2015;QA76.76.O63.R78;QA;76.76;.O63.R78;7;
1893;LINUX Dominar la administracion del sistema 3ra Edicion;Sebastian ROHAUT;2015;QA76.76.O63.R78;QA;76.76;.O63.R78;8;
1894;LINUX Dominar la administracion del sistema 3ra Edicion;Sebastian ROHAUT;2015;QA76.76.O63.R78;QA;76.76;.O63.R78;9;
1895;Microsoft Windows Server Manuel de Referencia;Danielle Ruest, Nelson Ruest;2009;QA76.76.O63.R92;QA;76.76;.O63.R92;1;
1896;Sistemas Operativos;Maribel Sabana Mendoza;2004;QA76.76.O63.S12;QA;76.76;.O63.S12;1;
1897;LINUX Guia Practica;Sebastian Sanchez Prieto, Oscar Garcia Poblacion;2009;QA76.76.O63.S24;QA;76.76;.O63.S24;2;
1898;LINUX Guia Practica;Sebastian Sanchez Prieto, Oscar Garcia Poblacion;2010;QA76.76.O63.S24;QA;76.76;.O63.S24;3;
1899;CompTIA LINUX + Guia de estudios Examenes LXO-101 y LXO-102;Roderick W. Smith;2011;QA76.76.O63.S24C;QA;76.76;.O63.S24C;1;
1900;UBUNTU LINUX;Manuel David Serrat Olmos;2008;QA76.76.O63.S42;QA;76.76;.O63.S42;1;
1901;UBUNTU LINUX;Manuel David Serrat Olmos;2009;QA76.76.O63.S42;QA;76.76;.O63.S42;2;
1902;UBUNTU LINUX;Manuel David Serrat Olmos;2010;QA76.76.O63.S42;QA;76.76;.O63.S42;3;
1903;Manual de Administracion de LINUX 4ta Edicion;Steve Shah, Wale Soyinka;2007;QA76.76.O63.S47;QA;76.76;.O63.S47;1;
1904;Manual de Administracion de LINUX 4ta Edicion;Steve Shah, Wale Soyinka;2008;QA76.76.O63.S47;QA;76.76;.O63.S47;2;
1905;Sistemas Operativos 6ta Edicion;Avi Silverschatz, Peter Galvin, Greg Gagne;2002;QA76.76.O63.S55;QA;76.76;.O63.S55;1;
1906;Sistemas Operativos;Martin Silva;2016;QA76.76.O63.S55;QA;76.76;.O63.S55;1;
1907;Sistemas Operativos 6ta Edicion;Avi Silverschatz, Peter Galvin, Greg Gagne;2002;QA76.76.O63.S55;QA;76.76;.O63.S55;2;
1908;Sistemas Operativos;Martin Silva;2016;QA76.76.O63.S55;QA;76.76;.O63.S55;2;
1909;Sistemas Operativos 6ta Edicion;Avi Silverschatz, Peter Galvin, Greg Gagne;2002;QA76.76.O63.S55;QA;76.76;.O63.S55;3;
1910;Sistemas Operativos;Martin Silva;2016;QA76.76.O63.S55;QA;76.76;.O63.S55;3;
1911;Sistemas Operativos;Martin Silva;2016;QA76.76.O63.S55;QA;76.76;.O63.S55;4;
1912;Sistemas Operativos;Martin Silva;2016;QA76.76.O63.S55;QA;76.76;.O63.S55;5;
1913;Sistemas Operativos Aspectos Internos y principios de diseño 5ta Edicion;William Stalings;2005;QA76.76.O63.S78;QA;76.76;.O63.S78;1;
1914;Sistemas Operativos 4ta Edicion;William Stalings;2001;QA76.76.O63.S78;QA;76.76;.O63.S78;1;
1915;Sistemas Operativos Aspectos Internos y principios de diseño 5ta Edicion;William Stalings;2005;QA76.76.O63.S78;QA;76.76;.O63.S78;2;
1916;Sistemas Operativos 4ta Edicion;William Stalings;2001;QA76.76.O63.S78;QA;76.76;.O63.S78;2;
1917;Sistemas Operativos Aspectos Internos y principios de diseño 5ta Edicion;William Stalings;2005;QA76.76.O63.S78;QA;76.76;.O63.S78;3;
1918;Sistemas Operativos 4ta Edicion;William Stalings;2001;QA76.76.O63.S78;QA;76.76;.O63.S78;3;
1919;Sistemas Operativos Modernos 2da Edicion;Andrew S. Tanenbaum;2003;QA76.76.O63.T19M;QA;76.76;.O63.T19M;1;
1920;Sistemas operativos modernos;Andrew S. Tanenbaum;2009;QA76.76.O63.T19M;QA;76.76;.O63.T19M;1;
1921;Sistemas Operativos Modernos 2da Edicion;Andrew S. Tanenbaum;2003;QA76.76.O63.T19M;QA;76.76;.O63.T19M;2;
1922;Sistemas operativos modernos;Andrew S. Tanenbaum;2009;QA76.76.O63.T19M;QA;76.76;.O63.T19M;2;
1923;Sistemas Operativos Modernos 2da Edicion;Andrew S. Tanenbaum;2003;QA76.76.O63.T19M;QA;76.76;.O63.T19M;3;
1924;Sistemas operativos modernos;Andrew S. Tanenbaum;2009;QA76.76.O63.T19M;QA;76.76;.O63.T19M;3;
1925;Sistemas Operativos Modernos 2da Edicion;Andrew S. Tanenbaum;2003;QA76.76.O63.T19M;QA;76.76;.O63.T19M;4;
1926;Sistemas operativos modernos;Andrew S. Tanenbaum;2009;QA76.76.O63.T19M;QA;76.76;.O63.T19M;4;
1927;Sistemas Operativos Modernos 2da Edicion;Andrew S. Tanenbaum;2003;QA76.76.O63.T19M;QA;76.76;.O63.T19M;5;
1928;Sistemas operativos modernos;Andrew S. Tanenbaum;2009;QA76.76.O63.T19M;QA;76.76;.O63.T19M;5;
1929;Sistemas operativos modernos;Andrew S. Tanenbaum;2009;QA76.76.O63.T19M;QA;76.76;.O63.T19M;6;
1930;Sistemas operativos modernos;Andrew S. Tanenbaum;2009;QA76.76.O63.T19M;QA;76.76;.O63.T19M;7;
1931;Sistemas operativos modernos;Andrew S. Tanenbaum;2009;QA76.76.O63.T19M;QA;76.76;.O63.T19M;8;
1932;Administracion de Sistemas LINUX;James Turnbull;2010;QA76.76.O63.T95;QA;76.76;.O63.T95;1;
1933;Domine Windows Vista;Cesar Perez;2008;QA76.76.P44;QA;76.76;.P44;1;
1934;Calidad del Producto y proceso Software ;Coral Calero, Angeles Moraga y otros;2010;QA76.76.Q35.C17;QA;76.76;.Q35.C17;1;
1935;Calidad del Producto y proceso Software ;Coral Calero, Angeles Moraga y otros;2010;QA76.76.Q35.C17;QA;76.76;.Q35.C17;2;
1936;Calidad del Producto y proceso Software ;Coral Calero, Angeles Moraga y otros;2010;QA76.76.Q35.C17;QA;76.76;.Q35.C17;3;
1937;Calidad de Sistemas Informaticos;Mario G. Piattini, Felix O. Garcia;2007;QA76.76.Q35.P52;QA;76.76;.Q35.P52;1;
1938;Calidad de Sistemas Informaticos;Mario G. Piattini, Felix O. Garcia;2007;QA76.76.Q35.P52;QA;76.76;.Q35.P52;2;
1939;Calidad de Sistemas Informaticos;Mario G. Piattini, Felix O. Garcia;2007;QA76.76.Q35.P52;QA;76.76;.Q35.P52;3;
1940;Calidad de Sistemas Informaticos;Mario G. Piattini, Felix O. Garcia;2007;QA76.76.Q35.P52;QA;76.76;.Q35.P52;4;
1941;Calidad de Sistemas Informaticos;Mario G. Piattini, Felix O. Garcia;2007;QA76.76.Q35.P52;QA;76.76;.Q35.P52;5;
1942;Calidad de Sistemas Informaticos;Mario G. Piattini, Felix O. Garcia;2007;QA76.76.Q35.P52;QA;76.76;.Q35.P52;6;
1943;Calidad de Sistemas Informaticos;Mario G. Piattini, Felix O. Garcia;2007;QA76.76.Q35.P52;QA;76.76;.Q35.P52;7;
1944;Aplicaciones .NET multiplataforma (Proyecto Mono) Plataforma Linux, Windows, Mac OS X……..;Francisco Javier Ceballos;2008;QA76.76.S46.C36;QA;76.76;.S46.C36;1;
1945;Aplicaciones .NET multiplataforma (Proyecto Mono) Plataforma Linux, Windows, Mac OS X……..;Francisco Javier Ceballos;2008;QA76.76.S46.C36;QA;76.76;.S46.C36;2;
1946;Aplicaciones .NET multiplataforma (Proyecto Mono) Plataforma Linux, Windows, Mac OS X……..;Francisco Javier Ceballos;2008;QA76.76.S46.C36;QA;76.76;.S46.C36;3;
1947;Aplicaciones .NET multiplataforma (Proyecto Mono) Plataforma Linux, Windows, Mac OS X……..;Francisco Javier Ceballos;2008;QA76.76.S46.C36;QA;76.76;.S46.C36;4;
1948;Aplicaciones .NET multiplataforma (Proyecto Mono) Plataforma Linux, Windows, Mac OS X……..;Francisco Javier Ceballos;2008;QA76.76.S46.C36;QA;76.76;.S46.C36;5;
1949;Aplicaciones .NET multiplataforma (Proyecto Mono) Plataforma Linux, Windows, Mac OS X……..;Francisco Javier Ceballos;2008;QA76.76.S46.C36;QA;76.76;.S46.C36;6;
1950;Frabricas de software: experiencias, tecnologias y organización;Mario Piattini Velthuis;2007;QA76.76.S64.P52;QA;76.76;.S64.P52;1;
1951;Frabricas de software: experiencias, tecnologias y organización;Mario Piattini Velthuis;2007;QA76.76.S64.P52 ;QA;76.76;.S64.P52 ;1;
1952;Frabricas de software: experiencias, tecnologias y organización;Mario Piattini Velthuis;2007;QA76.76.S64.P52;QA;76.76;.S64.P52;2;
1953;Frabricas de software: experiencias, tecnologias y organización;Mario Piattini Velthuis;2007;QA76.76.S64.P52;QA;76.76;.S64.P52;3;
1954;Frabricas de software: experiencias, tecnologias y organización;Mario Piattini Velthuis;2007;QA76.76.S64.P52;QA;76.76;.S64.P52;4;
1955;Frabricas de software: experiencias, tecnologias y organización;Mario Piattini Velthuis;2007;QA76.76.S64.P52;QA;76.76;.S64.P52;5;
1956;Frabricas de software: experiencias, tecnologias y organización;Mario Piattini Velthuis;2007;QA76.76.S64.P52;QA;76.76;.S64.P52;6;
1957;Frabricas de software: experiencias, tecnologias y organización;Mario Piattini Velthuis;2007;QA76.76.S64.P52;QA;76.76;.S64.P52;7;
1958;Frabricas de software: experiencias, tecnologias y organización;Mario Piattini Velthuis;2007;QA76.76.S64.P52;QA;76.76;.S64.P52;8;
1959;Frabricas de software: experiencias, tecnologias y organización;Mario Piattini Velthuis;2007;QA76.76.S64.P52;QA;76.76;.S64.P52;9;
1960;Frabricas de software: experiencias, tecnologias y organización;Mario Piattini Velthuis;2007;QA76.76.S64.P52;QA;76.76;.S64.P52;10;
1961;Frabricas de software: experiencias, tecnologias y organización;Mario Piattini Velthuis;2007;QA76.76.S64.P52;QA;76.76;.S64.P52;11;CAMBIAR CLASIFICACION
1962;Calidad en el desarrollo y mantenimiento del Software;Mario G. Piattini;2003;QA76.76.S64.P52C;QA;76.76;.S64.P52C;1;
1963;Pruebas de Spftware u Junit un analisis en profundidad y ejemplos practicos;Daniel Bolaños Alonso, Almudena Sierra Alonso y otros;2008;QA76.76.S65.B71;QA;76.76;.S65.B71;1;
1964;Pruebas de Spftware u Junit un analisis en profundidad y ejemplos practicos;Daniel Bolaños Alonso, Almudena Sierra Alonso y otros;2008;QA76.76.S65.B71;QA;76.76;.S65.B71;2;
1965;Pruebas de Spftware u Junit un analisis en profundidad y ejemplos practicos;Daniel Bolaños Alonso, Almudena Sierra Alonso y otros;2008;QA76.76.S65.B71;QA;76.76;.S65.B71;3;
1966;Pruebas de Spftware u Junit un analisis en profundidad y ejemplos practicos;Daniel Bolaños Alonso, Almudena Sierra Alonso y otros;2008;QA76.76.S65.B71;QA;76.76;.S65.B71;4;
1967;Pruebas de Spftware u Junit un analisis en profundidad y ejemplos practicos;Daniel Bolaños Alonso, Almudena Sierra Alonso y otros;2008;QA76.76.S65.B71;QA;76.76;.S65.B71;5;
1968;Pruebas de Spftware u Junit un analisis en profundidad y ejemplos practicos;Daniel Bolaños Alonso, Almudena Sierra Alonso y otros;2008;QA76.76.S65.B71;QA;76.76;.S65.B71;6;
1969;Pruebas de Spftware u Junit un analisis en profundidad y ejemplos practicos;Daniel Bolaños Alonso, Almudena Sierra Alonso y otros;2008;QA76.76.S65.B71;QA;76.76;.S65.B71;7;
1970;Medicion y estimacion del Software Tecnicas metodos para mejora la calidad y la productividad;Mario G. Piattini Velthuis;2008;QA76.76.S65.M36;QA;76.76;.S65.M36;1;
1971;Medicion y estimacion del Software Tecnicas metodos para mejora la calidad y la productividad;Mario G. Piattini Velthuis;2008;QA76.76.S65.M36;QA;76.76;.S65.M36;10;
1972;Medicion y estimacion del Software Tecnicas metodos para mejora la calidad y la productividad;Mario G. Piattini Velthuis;2008;QA76.76.S65.M36;QA;76.76;.S65.M36;2;
1973;Medicion y estimacion del Software Tecnicas metodos para mejora la calidad y la productividad;Mario G. Piattini Velthuis;2008;QA76.76.S65.M36;QA;76.76;.S65.M36;3;
1974;Medicion y estimacion del Software Tecnicas metodos para mejora la calidad y la productividad;Mario G. Piattini Velthuis;2008;QA76.76.S65.M36;QA;76.76;.S65.M36;4;
1975;Medicion y estimacion del Software Tecnicas metodos para mejora la calidad y la productividad;Mario G. Piattini Velthuis;2008;QA76.76.S65.M36;QA;76.76;.S65.M36;5;
1976;Medicion y estimacion del Software Tecnicas metodos para mejora la calidad y la productividad;Mario G. Piattini Velthuis;2008;QA76.76.S65.M36;QA;76.76;.S65.M36;6;
1977;Medicion y estimacion del Software Tecnicas metodos para mejora la calidad y la productividad;Mario G. Piattini Velthuis;2008;QA76.76.S65.M36;QA;76.76;.S65.M36;7;
1978;Medicion y estimacion del Software Tecnicas metodos para mejora la calidad y la productividad;Mario G. Piattini Velthuis;2008;QA76.76.S65.M36;QA;76.76;.S65.M36;8;
1979;Medicion y estimacion del Software Tecnicas metodos para mejora la calidad y la productividad;Mario G. Piattini Velthuis;2008;QA76.76.S65.M36;QA;76.76;.S65.M36;9;
1980;Programacion Windows Phone 7.5 Desarrollo de aplicaciones con Silverlight;Shawn Wildermuth;2012;QA76.76.W56.W56;QA;76.76;.W56.W56;1;
1981;MICROPROCESADORES INTEL Arquitectura, Programacion e Interfaz 7ma Edicion;Barry B. Brey;2006;QA76.8.1292.B82;QA;76.8.1292;.B82;1;
1982;MICROPROCESADORES INTEL Arquitectura, Programacion e Interfaz 7ma Edicion;Barry B. Brey;2006;QA76.8.1292.B82;QA;76.8.1292;.B82;2;
1983;MICROPROCESADORES INTEL Arquitectura, Programacion e Interfaz 7ma Edicion;Barry B. Brey;2006;QA76.8.1292.B82;QA;76.8.1292;.B82;3;
1984;MICROPROCESADORES INTEL Arquitectura, Programacion e Interfaz 7ma Edicion;Barry B. Brey;2006;QA76.8.1292.B82;QA;76.8.1292;.B82;4;
1985;MICROPROCESADORES INTEL Arquitectura, Programacion e Interfaz 7ma Edicion;Barry B. Brey;2006;QA76.8.1292.B82;QA;76.8.1292;.B82;5;
1986;MICROPROCESADORES INTEL Arquitectura, Programacion e Interfaz 7ma Edicion;Barry B. Brey;2006;QA76.8.1292.B82;QA;76.8.1292;.B82;6;
1987;Sentencias basicas usadas en la Programacion de Computadores;Roberto Carlos Guevara Calume;2008;QA76.8.G88;QA;76.8;.G88;1;
1988;Redes Neurales;James A. Anderson;2007;QA76.87.A57;QA;76.87;.A57;1;
1989;Redes Neurales;James A. Anderson;2007;QA76.87.A57;QA;76.87;.A57;2;
1990;Redes Neurales;James A. Anderson;2007;QA76.87.A57;QA;76.87;.A57;3;
1991;Redes Neurales;James A. Anderson;2007;QA76.87.A57;QA;76.87;.A57;4;
1992;Redes Neurales;James A. Anderson;2007;QA76.87.A57;QA;76.87;.A57;5;
1993;Redes Neurales;James A. Anderson;2007;QA76.87.A57;QA;76.87;.A57;6;
1994;Redes Neurales;James A. Anderson;2007;QA76.87.A57;QA;76.87;.A57;7;FALTA NUMERO DE INGRESO
1995;Redes Neurales;James A. Anderson;2007;QA76.87.A57;QA;76.87;.A57;8;
1996;Redes de Neuronas Artificiales Un Enfoque Practico;Pedro Isasi Viñuela, Ines M. Galvan Leon;2004;QA76.87.I77;QA;76.87;.I77;1;
1997;Redes de Neuronas Artificiales Un Enfoque Practico;Pedro Isasi Viñuela, Ines M. Galvan Leon;2004;QA76.87.I77;QA;76.87;.I77;2;
1998;Redes de Neuronas Artificiales Un Enfoque Practico;Pedro Isasi Viñuela, Ines M. Galvan Leon;2004;QA76.87.I77;QA;76.87;.I77;3;
1999;Redes Neuronales y Sistemas Borrosos 3ra Edicion;Bonifacio Martin del Brio, Alfredo Sanz Molina;2007;QA76.87.M26;QA;76.87;.M26;1;
2000;Redes Neuronales y Sistemas Borrosos 3ra Edicion;Bonifacio Martin del Brio, Alfredo Sanz Molina;2007;QA76.87.M26;QA;76.87;.M26;10;
2001;Redes Neuronales y Sistemas Borrosos 3ra Edicion;Bonifacio Martin del Brio, Alfredo Sanz Molina;2007;QA76.87.M26;QA;76.87;.M26;11;
2002;Redes Neuronales y Sistemas Borrosos 3ra Edicion;Bonifacio Martin del Brio, Alfredo Sanz Molina;2007;QA76.87.M26;QA;76.87;.M26;12;
2003;Redes Neuronales y Sistemas Borrosos 3ra Edicion;Bonifacio Martin del Brio, Alfredo Sanz Molina;2007;QA76.87.M26;QA;76.87;.M26;13;
2004;Redes Neuronales y Sistemas Borrosos 3ra Edicion;Bonifacio Martin del Brio, Alfredo Sanz Molina;2007;QA76.87.M26;QA;76.87;.M26;14;
2005;Redes Neuronales y Sistemas Borrosos 3ra Edicion;Bonifacio Martin del Brio, Alfredo Sanz Molina;2007;QA76.87.M26;QA;76.87;.M26;15;
2006;Redes Neuronales y Sistemas Borrosos 3ra Edicion;Bonifacio Martin del Brio, Alfredo Sanz Molina;2007;QA76.87.M26;QA;76.87;.M26;2;
2007;Redes Neuronales y Sistemas Borrosos 3ra Edicion;Bonifacio Martin del Brio, Alfredo Sanz Molina;2007;QA76.87.M26;QA;76.87;.M26;3;
2008;Redes Neuronales y Sistemas Borrosos 3ra Edicion;Bonifacio Martin del Brio, Alfredo Sanz Molina;2007;QA76.87.M26;QA;76.87;.M26;4;
2009;Redes Neuronales y Sistemas Borrosos 3ra Edicion;Bonifacio Martin del Brio, Alfredo Sanz Molina;2007;QA76.87.M26;QA;76.87;.M26;5;
2010;Redes Neuronales y Sistemas Borrosos 3ra Edicion;Bonifacio Martin del Brio, Alfredo Sanz Molina;2007;QA76.87.M26;QA;76.87;.M26;6;
2011;Redes Neuronales y Sistemas Borrosos 3ra Edicion;Bonifacio Martin del Brio, Alfredo Sanz Molina;2007;QA76.87.M26;QA;76.87;.M26;7;
2012;Redes Neuronales y Sistemas Borrosos 3ra Edicion;Bonifacio Martin del Brio, Alfredo Sanz Molina;2007;QA76.87.M26;QA;76.87;.M26;8;
2013;Redes Neuronales y Sistemas Borrosos 3ra Edicion;Bonifacio Martin del Brio, Alfredo Sanz Molina;2007;QA76.87.M26;QA;76.87;.M26;9;
2014;Ejercicios resueltos de Vision por Computador;Gonzalo Pajares Martinsanz, Jesus M. de la Cruz Garcia;2018;QA76.87.P18;QA;76.87;.P18;1;
2015;MODELAMIENTO y SIMULACION de Circuitos Sinapticos Sensoriomotores Introduccion a la neurobiologia computacional;David Fernando Ramirez Moreno, Julian Hurtado Lopez;2014;QA76.87.R22;QA;76.87;.R22;1;
2016;MODELAMIENTO y SIMULACION de Circuitos Sinapticos Sensoriomotores Introduccion a la neurobiologia computacional;David Fernando Ramirez Moreno, Julian Hurtado Lopez;2014;QA76.87.R22;QA;76.87;.R22;2;
2017;MODELAMIENTO y SIMULACION de Circuitos Sinapticos Sensoriomotores Introduccion a la neurobiologia computacional;David Fernando Ramirez Moreno, Julian Hurtado Lopez;2014;QA76.87.R22;QA;76.87;.R22;3;
2018;MODELAMIENTO y SIMULACION de Circuitos Sinapticos Sensoriomotores Introduccion a la neurobiologia computacional;David Fernando Ramirez Moreno, Julian Hurtado Lopez;2014;QA76.87.R22;QA;76.87;.R22;4;
2019;MODELAMIENTO y SIMULACION de Circuitos Sinapticos Sensoriomotores Introduccion a la neurobiologia computacional;David Fernando Ramirez Moreno, Julian Hurtado Lopez;2014;QA76.87.R22;QA;76.87;.R22;5;
2020;SEGURIDAD DE LA INFORMACION Redes, informatica y Sistemas de Informacion;Javier Areitio;2008;QA76.9.A25.A69;QA;76.9;.A25.A69;1;
2021;Introduccion a la SEGURIDAD INFORMATICA;Gabriel Baca Urbina;2016;QA76.9.A25.B12;QA;76.9;.A25.B12;1;
2022;Inseguridad de la Informacion una Vision Estrategica;Jeimy J. Cano Martinez;2013;QA76.9.A25.C25;QA;76.9;.A25.C25;1;
2023;La Seguridad Informatica en la PYME Situacion Actual y mejores practicas;Jean-Francois CARPENTER;2016;QA76.9.A25.C28;QA;76.9;.A25.C28;1;
2024;La Seguridad Informatica en la PYME Situacion Actual y mejores practicas;Jean-Francois CARPENTER;2016;QA76.9.A25.C28;QA;76.9;.A25.C28;2;
2025;La Seguridad Informatica en la PYME Situacion Actual y mejores practicas;Jean-Francois CARPENTER;2016;QA76.9.A25.C28;QA;76.9;.A25.C28;3;
2026;La Seguridad Informatica en la PYME Situacion Actual y mejores practicas;Jean-Francois CARPENTER;2016;QA76.9.A25.C28;QA;76.9;.A25.C28;4;
2027;La Seguridad Informatica en la PYME Situacion Actual y mejores practicas;Jean-Francois CARPENTER;2016;QA76.9.A25.C28;QA;76.9;.A25.C28;5;
2028;SEGURIDAD INFORMATICA;Jesus Costas Santos;2011;QA76.9.A25.C84;QA;76.9;.A25.C84;1;
2029;SEGURIDAD INFORMATICA;Jesus Costas Santos;2012;QA76.9.A25.C84;QA;76.9;.A25.C84;2;
2030;SEGURIDAD INFORMATICA;Jesus Costas Santos;2012;QA76.9.A25.C84;QA;76.9;.A25.C84;3;
2031;HACKING & CRACKING Redes inalambricas;Hegel Broy De la Cruz Paisig;2012;QA76.9.A25.D37;QA;76.9;.A25.D37;1;
2032;AAA / RADIUS / 802.1x Sistemas basados en la autenticacion en Windows y LINUX/GNU-Seguridad Maxima;Yago Fernandez Hansen, Antonio Ramos Varon;2011;QA76.9.A25.F41;QA;76.9;.A25.F41;1;
2033;Seguridad en SISTEMAS OPERATIVOS WINDOWS y LINUX;Julio Gomez, Raul Baños;2006;QA76.9.A25.G63;QA;76.9;.A25.G63;1;
2034;Enciclopedia de la Seguridad Informatica;Alvaro Gomez Vieites;2006;QA76.9.A25.G64;QA;76.9;.A25.G64;1;
2035;Enciclopedia de la Seguridad Informatica;Alvaro Gomez Vieites;2007;QA76.9.A25.G64a;QA;76.9;.A25.G64a;1;
2036;Hacking y Seguridad en Internet;Fernando Picouto Ramos, Iñaki Lorente Perez y otros;2008;QA76.9.A25.H12r;QA;76.9;.A25.H12r;1;
2037;Hacking y Seguridad en Internet;Fernando Picouto Ramos, Iñaki Lorente Perez y otros;2009;QA76.9.A25.H12r;QA;76.9;.A25.H12r;2;CAMBIAR CLASIFICACION
2038;Hacking y Seguridad en Internet;Fernando Picouto Ramos, Iñaki Lorente Perez y otros;2009;QA76.9.A25.H12r;QA;76.9;.A25.H12r;3;CAMBIAR CLASIFICACION
2039;Hacking y Seguridad en Internet;Fernando Picouto Ramos, Iñaki Lorente Perez y otros;2009;QA76.9.A25.H12r;QA;76.9;.A25.H12r;4;CAMBIAR CLASIFICACION
2040;Secretos y soluciones para la Seguridad de Linux HACKERS en LINUX 2da Edicion;Brian Hatch, James Lee;2003;QA76.9.A25.H24;QA;76.9;.A25.H24;1;
2041;Una Vision Sistematica de la Auditoria Informatica;Alvaro Ivan Jimenez Alzate;2009;QA76.9.A25.J54;QA;76.9;.A25.J54;1;
2042;Una Vision Sistematica de la Auditoria Informatica;Alvaro Ivan Jimenez Alzate;2010;QA76.9.A25.J54;QA;76.9;.A25.J54;2;
2043;HACKING y SEGURIDAD de Paginas Web;Antonio Angel Ramos Varon, Carlos A. Barbero Muñoz y otros;2015;QA76.9.A25.R24;QA;76.9;.A25.R24;1;
2044;Seguridad Informatica CompTIA SEGURITY +;Emmett Dulaney;2011;QA76.9.A25.S36;QA;76.9;.A25.S36;1;
2045;HACKING The Underground Guide to computer Hacking.;Abraham K. White;2018;QA76.9.A25.W54;QA;76.9;.A25.W54;1;
2046;Diseño de Algoritmos y su Codificacion en Lenguaje C;Maria Adriana Corona Nakamura , Maria de los Angeles Ancona Valdez;2011;QA76.9.A43.C78;QA;76.9;.A43.C78;1;
2047;Diseño de Algoritmos y su Codificacion en Lenguaje C;Maria Adriana Corona Nakamura , Maria de los Angeles Ancona Valdez;2011;QA76.9.A43.C78;QA;76.9;.A43.C78;2;
2048;Diseño de Algoritmos y su Codificacion en Lenguaje C;Maria Adriana Corona Nakamura , Maria de los Angeles Ancona Valdez;2011;QA76.9.A43.C78;QA;76.9;.A43.C78;3;
2049;ALGORITMIA;Augusto Cortez Vasquez;2010;QA76.9.A43.C82A;QA;76.9;.A43.C82A;1;
2050;ALGORITMIA;Augusto Cortez Vasquez;2010;QA76.9.A43.C82A;QA;76.9;.A43.C82A;2;
2051;ALGORITMIA;Augusto Cortez Vasquez;2010;QA76.9.A43.C82A;QA;76.9;.A43.C82A;3;
2052;ALGORITMIA Tecnicas algoritmicas;Augusto Cortez Vasquez;2012;QA76.9.A43.C82AT;QA;76.9;.A43.C82AT;1;
2053;ALGORITMIA Tecnicas algoritmicas;Augusto Cortez Vasquez;2012;QA76.9.A43.C82AT;QA;76.9;.A43.C82AT;2;
2054;ALGORITMIA Tecnicas algoritmicas;Augusto Cortez Vasquez;2012;QA76.9.A43.C82AT;QA;76.9;.A43.C82AT;3;
2055;ALGORITMIA Tecnicas algoritmicas;Augusto Cortez Vasquez;2012;QA76.9.A43.C82AT;QA;76.9;.A43.C82AT;4;
2056;ALGORITMIA Tecnicas algoritmicas;Augusto Cortez Vasquez;2012;QA76.9.A43.C82AT;QA;76.9;.A43.C82AT;5;
2057;ALGORITMIA Tecnicas algoritmicas;Augusto Cortez Vasquez;2012;QA76.9.A43.C82AT;QA;76.9;.A43.C82AT;6;
2058;ALGORITMIA Tecnicas algoritmicas;Augusto Cortez Vasquez;2012;QA76.9.A43.C82AT;QA;76.9;.A43.C82AT;7;
2059;Algoritmos y Diagramas de flujo aplicados en PHP;Joel De La Cruz Villar;2006;QA76.9.A43.C92;QA;76.9;.A43.C92;1;
